NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025;Q026;Q027
180012349309;2018;3;M;0;0;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;2;1;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;B;B;A;B;5;C;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;A;B;A
180012350007;2018;4;F;0;0;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;2;1;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;B;B;A;B;5;C;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;A;B;A
180012350565;2018;4;M;0;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;448;454;457;460;401.4;504.1;473.4;385;EABECECECABAEBCADCCCBDECDCBBBDCCABCEACACBEABE;BEDBAEBABACEBACCADEDEEADEAEDAACEEBABBCAAADEEC;CBBDA99999BBBDCABBBBABEECDDEDAADABBAAEDAAEBBCAEACB;BBBABCDCDDCBAEBCBCBDCEBCEDACDADDAECCBDDCDDCED;0;BCACEEBBBDACEDECAADDDABDBCCACDCBCEDEDABEBEAEA;CDECAABBDDECBEEDBEBBEBEDEEEBCEAEECECCDBDDCACD;CBEDBBBDCBECADBBBECBEAECABDADACDBABCECBBEDADABECED;ADAEDABBCAADBEXEBBDEEADCCCCDACEDDABCBCAAEBBDD;1;120;60;60;100;40;380;G;C;E;B;5;G;A;B;D;A;B;B;B;B;B;A;A;A;B;A;B;B;A;A;A;B;A
180012352630;2018;4;M;0;0;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;2;1;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;B;B;A;B;4;C;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;A;B;A
180012355144;2018;4;M;0;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;E;E;C;C;5;B;A;C;C;A;A;B;A;B;A;A;A;A;B;B;A;B;A;A;B;B;A
180012360366;2018;11;F;0;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;449;451;455;462;549.3;524.9;490;479.9;E*EBBECEDDABBADDBBCEBDBAACCDCECABAAEBEDDBCBEE;DABDDCAABADDBBDBDCDEADDEBABCDAEBAABAEDBCAEBDE;99999BDCABDECCCEDCABDECABCBEBBDCBECCCAABDEDCCEBAAA;ABBBADABE*CCCEABCAADDBDCDABDCAEEBBBADCEBCCBEB;1;EBBEBACEDDEDDCBCCACBDDDAECAADBCEABEAEABDBCACE;CACDDBDDECCEDEEEBCEAEECBBEBEDBEDECBEBDCAABCDE;BBDECBBCDBCECBABDBEDACDDBBBEADECACEDBEBABCBEAECADA;ADCACEDDABEBBCBCADDACCCDEBBDAEEDBEXBCAEDABADA;1;120;120;120;80;80;520;B;G;E;B;4;B;A;B;C;A;B;A;B;A;A;A;A;A;B;A;A;B;A;A;A;B;A
180012368172;2018;2;M;0;5;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;B;E;A;A;6;B;A;B;D;A;A;B;B;A;A;A;A;A;B;B;A;C;A;A;A;B;A
180012371273;2018;8;F;0;0;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;2;1;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;B;B;A;A;5;A;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A;B;A
180012374270;2018;2;F;0;3;1;2;0;3;1;0;1301902;Itacoatiara;13;AM;3;2;1;1301902;Itacoatiara;13;AM;1;1;1;1;450;453;458;461;444.6;560.9;526.3;475.1;DBCBECBDDB*EEBCBAEDDAECCACDCBEDCBBCEBDCEDABBE;CCBCDBEACAEDBABEEBCCEDACADCBABCACB*CDEDAAEBCE;99999EBEBBAEDBDCBACBCBEAABAAEECCDBDDCEABACBDECBCAD;CEEAAEAEEDBECDCCACDBEEECADCADABBBABCCEABDEDAD;1;ACEDEAEAEBECAADABBDBCEDEDDCDDABCCACBCACEBDEBB;ECCBBEBEDBEDBDDAEECDECBECACDEDEECDECAABBDEBCE;BCDEBDBCBBACDCBEAECBABADBBECECBDBBEABDADACEDECABED;EBBDEECCCDACEADCBCAAEBBCBCADAEDABADDADDABDBEX;1;160;40;40;120;40;400;B;B;A;A;5;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A;B;A
180012377494;2018;2;M;0;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;448;454;457;460;560.3;604.9;544.7;557.3;CCDBEDCEBDBABECEDBDCABBDDACCDDDCCCAEDABDBACAE;ADDCACBBABECACADDEABBEECEBBDEBCEEBBCADCCEEACA;EBCDB99999DBBDCABABBEBAAABDCBAAEBCBCAABCABDBABBACC;ECDCDBBEDCAEDEECCBBBEDCBCCEBBCBDEECBCBCDDEAAB;0;BCACEEBBBDACEDECAADDDABDBCCACDCBCEDEDABEBEAEA;CDECAABBDDECBEEDBEBBEBEDEEEBCEAEECECCDBDDCACD;CBEDBBBDCBECADBBBECBEAECABDADACDBABCECBBEDADABECED;ADAEDABBCAADBEXEBBDEEADCCCCDACEDDABCBCAAEBBDD;1;140;120;120;120;120;620;E;E;D;F;3;C;A;C;C;A;B;B;A;B;A;B;A;A;B;B;A;C;A;A;B;B;A
