NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ESCOLA;TP_ENSINO;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
210056584866;2022;2;F;1;3;1;2;1.0;1.0;2.0;1.0;1301902;Itacoatiara;13;AM;1;1;1;1;1086.0;1055.0;1065.0;1076.0;483.7;554.8;574.7;553.8;CCBCCBCDAADDCABBADBCECCAABEBECAEEDABDBAECABAC;ACABADAEDBBDECBECEABCCDDAAEBABBABAEDCACCACBCE;EDEBADCEAAABDDBBBECBBAEECCBDBACAADBDACACBDDCE;DDEACCBEEEECBDEBCBDAEBCDCCABBCABDCAAEDEEBECDD;1;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;1.0;120.0;120.0;120.0;120.0;0.0;480.0;E;F;D;E;3;L;A;C;E;A;C;B;A;B;A;B;A;A;C;A;B;D;A;B;B
210054497186;2022;2;M;1;3;1;2;1.0;4.0;1.0;1.0;1301902;Itacoatiara;13;AM;1;1;1;1;1088.0;1058.0;1067.0;1077.0;605.8;635.7;583.1;743.1;BDEDBCAEDBADBAAECDCBDCECBCCABCEBBBCBAADCDBBCD;DBDAAAABEBCBADEDAEABBBACEEEDADDADBDEECBDBEACD;CDBEDCAABDBEBDDDABAEECECEAAABDDDEADBDDDDDDDCD;CDBCBDBEBCBCBEABDADBCEBDDACBDDCCBCBBDBACAECAC;0;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;1.0;160.0;200.0;120.0;200.0;200.0;880.0;F;F;D;E;4;H;A;C;C;B;A;B;A;B;A;A;A;A;A;A;A;D;A;B;B
210057662025;2022;2;F;1;3;1;2;1.0;2.0;1.0;1.0;1304005;Silves;13;AM;1;1;1;1;1086.0;1055.0;1065.0;1076.0;395.1;478.7;404.5;365.3;ADEDCCCCABADBDDBBAABDCBDEEACCCAECAAAACCDCEACA;DEAEDADDCBBBCADDCDABAEEBAABCCEAADBBCEEDDDADDD;ADBDDEBDABCABDCAADE*AAADBDECACBCEECDCCEDBACDB;DAEBADAECBEDACAEBDCEBCCABAABDBECABCADACDCAEAB;0;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;1.0;120.0;120.0;100.0;120.0;0.0;460.0;D;E;C;C;6;B;A;B;C;A;B;B;A;B;A;A;A;A;B;A;A;B;A;A;A
210054810325;2022;1;M;1;3;1;2;1.0;2.0;1.0;1.0;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;F;D;D;B;4;A;A;C;D;A;B;B;A;B;A;A;A;A;B;A;A;E;A;B;B
210054686403;2022;11;F;1;3;1;2;1.0;2.0;1.0;1.0;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;C;D;A;A;6;B;A;B;B;A;B;B;A;A;A;A;A;A;B;A;A;B;A;A;B
210054722965;2022;5;M;1;3;1;2;1.0;1.0;2.0;1.0;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;B;E;F;B;6;B;A;B;E;A;A;B;B;A;A;A;A;A;B;A;A;E;A;A;A
210054926011;2022;1;F;1;3;2;2;1.0;2.0;1.0;1.0;1301902;Itacoatiara;13;AM;1;1;1;1;1085.0;1057.0;1068.0;1075.0;377.9;472.0;420.1;355.8;DCCBEDEDDBABBDDDEECADAAEDCADAACBEBDCCBCEDCDDD;DCEECDDCDDDDCDDDBEAEDDEEBEAAECDECBBDBEDDACBAE;EDCEEDDADECCEDBDDCCCEEDBBCDABEEABCDCDEEDADEAA;EABEABDCACABDDBCBBACCDDDEAADEBDDDDECAABACEECA;1;ADBADABEABCEEEACCBDDADDCBBCCAEBAEBEBEACCCDDDE;CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB;BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA;ECDABEBDCEECDBDCCCCBCXCBAACDBAAACEBABDDEDAEBE;1.0;120.0;120.0;80.0;100.0;100.0;520.0;B;B;A;A;3;A;A;A;B;A;A;B;A;A;A;A;A;A;A;A;A;B;A;A;A
210057202796;2022;2;F;1;2;1;2;1.0;2.0;1.0;1.0;1301902;Itacoatiara;13;AM;1;1;1;1;1085.0;1057.0;1068.0;1075.0;443.8;521.8;519.8;389.6;DAABBEAADAEBAEBDEADCAADEABEAACDECBBBACDECCEDD;AECEDCACDAAAADEDDAAECCEEBEBEAADEBADBAECAABEAB;EAAAECCBDAEBEACADBDAEEEAAECBACEBEACAACDDEDEAB;BBBDAADDAEEBEEEBCBECBDEBAAACECADEAEECCADBEBDB;1;ADBADABEABCEEEACCBDDADDCBBCCAEBAEBEBEACCCDDDE;CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB;BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA;ECDABEBDCEECDBDCCCCBCXCBAACDBAAACEBABDDEDAEBE;1.0;120.0;120.0;120.0;100.0;80.0;540.0;A;B;A;A;5;A;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A
210056728082;2022;2;F;0;3;1;2;1.0;2.0;1.0;1.0;1301902;Itacoatiara;13;AM;1;1;1;1;1086.0;1055.0;1065.0;1076.0;468.8;551.1;532.7;530.0;EEAEDBDEDDACDAAEADBAABDACDCBCADEBCAADECEEACAC;EAABCACAAEACDCBEACABADDCAEEDAECDABDDBBADCBDAE;EDCAEBAAAEAEADBCEBCDBAEEBCBCCEAABECDAAEEDEECE;ABECBBDAECECABACBEEBEBABAAAEBEDADAEEAEBAEDAAC;1;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;1.0;120.0;120.0;120.0;120.0;80.0;560.0;C;D;A;A;3;A;A;B;C;A;B;B;B;B;A;A;A;A;B;A;A;C;A;A;B
210056773230;2022;2;F;1;1;1;2;1.0;1.0;2.0;1.0;1301902;Itacoatiara;13;AM;1;1;1;1;1088.0;1058.0;1067.0;1077.0;413.4;530.9;540.0;477.0;AADCDCBEEBDECDCEDCDCADABDCEBBECECACCBDEECBDCD;DBABAABCDEBEEEDAECABABACAADDACEDEDAAECDABCDDD;CDBDDCAABDEDCDDDCBACDCAADABADEECAACEACEEDCADD;CDACDADBCBECCADEBADCBCEEDBDACDEDBDDECCBDBECAD;0;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;1.0;140.0;120.0;120.0;140.0;80.0;600.0;E;G;D;E;4;J;A;C;D;A;C;B;A;B;A;A;A;A;C;B;A;E;A;C;B
210054979735;2022;2;F;1;1;1;2;1.0;2.0;1.0;1.0;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;B;E;A;A;11;A;A;B;A;A;A;B;B;A;A;A;A;A;B;A;A;B;A;A;A
210054798482;2022;3;M;1;3;1;2;1.0;2.0;1.0;1.0;3550308;SÃÂ£o Paulo;35;SP;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;H;F;C;E;4;B;A;B;C;A;B;B;A;A;A;A;A;A;B;A;B;E;A;B;B
210054734117;2022;3;M;1;1;1;2;1.0;2.0;1.0;1.0;1301902;Itacoatiara;13;AM;1;1;1;1;1086.0;1055.0;1065.0;1076.0;540.9;516.9;452.7;457.0;BABABDCDDECCDCCEBEEBCCCDCADCDACEACDDEADDDEABB;AAACBEDEAAAAECACBEABACDCAEBBCEADDAECBABEAEDCA;BDBECBCDAEEEDDBBBDCADECACBADDACECEBBACBDADCEE;EABEECBEECACABACCBAABCAACBCBAACBAADECEAAACCAB;0;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;1.0;120.0;120.0;120.0;120.0;100.0;580.0;C;E;C;B;5;B;A;B;C;A;B;B;A;B;A;A;A;A;B;A;A;C;A;A;B
