NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025;TX_ACERTOS_CN;TX_ACERTOS_CH;TX_ACERTOS_LC;TX_ACERTOS_MT
190001082484;2019;2;M;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;505;509;514;518;392.4;543.9;552.7;572;CBBDCACBCDCEBACBBCBBACAACBDAADADCADBDDDECABCD;ACACAEDCDACCADCDBABCDECBAAAABABEADEEEEDBCABCB;CBBAD99999EACBCAEAEBEAADDABBDEAEDBBEBCCAABAEDBACEE;DDBBABCECDECCECCBCBCDCECABDBCCDBCBBCDCBDBDDDC;0;DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE;ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB;EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB;DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB;1;160;180;160;180;60;740;E;G;D;D;5;J;B;E;E;A;B;B;A;B;A;B;A;A;D;A;B;E;A;B;B;000010011000100100100000001100000000001100000;111101010000110011000000000100001100111100001;01111000000111100010011110001100110011011000001000;100110001100011000010001000000000000100000000
190001084432;2019;4;M;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;503;509;514;515;413.9;427.8;464.1;410.4;AEEDBDABECBEBBBAEDBCCBADDBBEAAABEDCBEADCAEAAA;AB*ECCACAABCABABCADDAABAACCABCBCCBACBACAACDAB;AABBA99999ACCCCCAACBDCDECAEEDEEABCEDAAAAACACBABEBA;ACBBEACCACEBAAEABADABAAAAAACEBEABABABADABAABE;0;AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC;ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB;EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB;EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA;1;160;120;120;120;160;680;E;G;D;D;8;J;B;E;E;A;B;B;A;B;A;B;A;A;E;A;B;E;A;B;B;101000000000000000100010010101001011100000100;100000010000100101010000011101000000000000001;00100000000010100000000000101100000100011000000100;000000001101000110000100000100000110000000000
190001084484;2019;5;F;1;1;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;503;509;514;515;491.1;402.9;542.2;468.7;CEEAAEDEDEBBACBBBCEADBBBABCEBBBEBCECDCCAABECC;ECBCCEBDDBCCEAEAADAADDCABBCEBEDCBEBACDDAAAEAC;EBBAB99999BACECBEBCBDADDCEACAEBBDBDDECEADCACDCBBCE;CEEBEADCAECEADBECBDCAABEDDADEBACCEBCEBDDEEECD;0;AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC;ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB;EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB;EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA;1;120;120;120;120;100;580;F;F;A;A;10;F;A;B;D;A;B;B;A;B;B;B;A;A;B;A;A;C;A;B;B;001010110001000011000000111110110000001000001;010101100100000000000000001000000000001000000;11110000001110100000010100010100110101010000010010;011000001000011000000100000000010010000100000
190001086314;2019;2;F;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;505;508;512;518;442.8;516.7;546.6;517.4;AACCDDCBBDECADCCBEDBEBCBBAACEDBABCEADEDDCCCED;DBACABBECCCBCCABABECBADADAEBEABDDDCDCCCAAEEBC;99999BDAAADBABACEACECCBCCBAAAAEAEBADADBDECDECBCDBD;DDBCADACCDCBCBCEACBAACECEEBCEDACCBCBCEBDDCCEC;1;DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE;CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC;BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD;DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB;1;140;120;120;160;140;680;A;A;A;A;4;C;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;010100010001000001000110000000001111001000000;011010101000010000000000010101010000111100001;00000111010111100000100101000000101011001111100001;100010101100001100000001100000000000010000000
190001068868;2019;3;F;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;506;510;513;517;422.1;454;455.3;419.5;ADADCBCEEEDABEBCEABAEEDBADBDAEACCAABCCBBDDAEA;EBACACEDBBAADBAADEAACAABEDBDCEDCDBBBADDADBDBE;AEBAC99999DBBCAACACCABEEBAEABCECECACDAABECCCEECCAB;CEACCAEEAEDAAEDCADEEAEEDECDCDBBADAAACDBBACCBA;0;DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC;EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB;ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC;AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA;1;100;120;80;100;80;480;E;E;F;D;3;B;A;C;D;A;B;B;A;B;A;A;A;A;B;B;A;D;A;C;B;001100001000011100100000100001000010100000000;100100000000011000101000011000000001001000100;10100000000111000100000011010100110100001001000000;000000110000000010000000000000010000010000101
190001070396;2019;3;F;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;504;507;511;516;357.8;415;444.9;418.6;BBEACEAABACDAAECEACBDEBEEABADDDAABDDAABACEEEA;DCECDAAADAEBDABBECADDAEBDCABAACEBDBACBECBDECD;99999DCDDECDBDABECCDAAEEBBDAEEBECCCACDCABEACEECCAC;DAAEEACBDEDCBAECBCEBEBDCAAADAAEEABADCBCEADAAA;1;BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB;BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB;BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB;BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD;1;120;40;40;140;0;340;C;D;A;F;5;B;A;C;D;A;B;B;A;B;A;B;A;A;B;A;A;E;A;A;A;101101000001010000000001000000000000000100010;000100100100000010000100000001000000000010000;00000000000010100000010100000000011000010000000100;000110001000000000000000010000000001100000000
190001078759;2019;5;M;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;D;E;A;B;4;B;A;B;B;A;A;B;A;B;A;A;A;A;B;A;A;B;A;A;A;;;;
190001078770;2019;3;F;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;506;510;513;517;364.2;481.9;481.8;554.7;EAEBDBDDDABABEDBBECBDBEECAEBCEAABBEDCCEADBBDE;CAADEEDCEAADABAAEEEAEEBEECCCEBCACABABEAADEDCE;99999BABEEDBCCBCECCEAEEDDDAECEEDEAACCADACBEEABCECA;DBABEDDBEBAAEBACAEBCDBBACECBDAADDEACBDBECBCAA;1;DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC;EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB;ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC;AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA;1;140;120;100;120;40;520;H;H;F;F;7;A;A;B;C;A;A;A;A;A;A;A;A;A;A;A;A;B;A;A;A;000000000000010010000000000111000001101000000;000011100000011000000110000000111100000000110;00000000000101110001000100100001100100100010000010;000000001100010010000011011001000001110000101
190001082616;2019;4;M;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;C;G;D;D;4;E;A;B;D;A;B;B;B;A;A;B;A;A;C;A;A;D;A;A;B;;;;
190001087755;2019;2;M;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;504;507;511;516;433.5;438;458.7;433.8;DEDBBECBDDDCDEACDABAAEBBDCCBADBCADEBEBCACAEDB;EEBCEDADEBABAACDBABCECDABCCCBACABB*AACBAAAEDD;BBCEC99999ADDDBECCEBAAEBBDCCBECCDCEBEBAAADEEBDEACE;BADEABCDB*EAAACEABBBEDEDCABDBEBEEEDABABDADCDA;0;BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB;BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB;BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB;BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD;1;120;120;120;120;100;580;E;E;C;C;4;B;A;B;C;A;B;B;A;B;A;A;A;A;B;A;A;C;A;A;A;010001000000000000001000100100000000000100001;000100100000000000000000000101000000101001010;10000000000000000010010001000001010010111100100000;101100000010100000100000110000100000000000010
190001087788;2019;2;F;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;503;509;514;515;486.8;497.9;542.6;499.9;AECBDDADCACBCDECBEAADECDDBCEBDBBECCAABDEBEBCE;AEBEBBECABCAABCDAACDBECBCEDADCAEBDBADADBDEBCA;ADBAD99999BBCBECAADBDACDBEAEDECBDADDBBCACECBDCEECE;BBCEDCBDACEBDDABCCBDCBDEABCEBDACEABDECEBCDDCB;0;AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC;ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB;EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB;EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA;1;140;120;120;120;100;600;C;E;B;C;5;B;A;B;B;A;A;B;A;B;B;A;A;A;B;A;B;B;A;A;B;100000000011110010000000011110101010000110000;100000010100100001111000100111000100001101000;00111000001011000000010100001110100110010111010110;000010001101010000001000010000010110000001000
