NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
210058941298;2023;2;F;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;1222;1191;1201;1212;442.2;503.2;540.8;546.2;CACBEEAACCDBBBBBBBDDABABBCCABBCDABABBCBDCBCBE;ADBACAABAAEDAEDBEBDDAECDDCBAACDCAACAEEABBABDD;BCACBAACDEDCDADBDDDEACAEBBABCCDBBAACCABBBEAAE;BCCECCBBDCBCDCADBAAEDECDBABBEECECDBADCDAADDED;0;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;1;140;120;120;140;100;620;E;E;F;B;3;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A
210060851782;2023;4;F;1;1;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;1224;1192;1202;1214;451.3;426;419.5;339.8;CDBDBABEAEBBAACCDEBBEADEBABABECDEBADAEAACCDEE;CAAADCACDEBECDABDDCBDBBCBAADDBBEBEDAAAEBEABBD;CCACBCAEEDDBEACEABBACECEACADAACBEABDDEABACBCB;CDCEEEDAAABEBABBEECCEACAABDBEDBCAECCBDABADBCB;1;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;1;140;40;40;120;40;380;B;E;B;B;5;B;B;B;C;A;B;B;A;A;A;A;A;A;B;A;A;B;A;A;B
210060482487;2023;2;M;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;1221;1193;1204;1211;384.7;487.7;552.6;657.1;EDDBCDBAABABDEBDEBBCEEDEBBDCCADCBCEBDCBAAADDC;CECEEBAEACCADAEEDEAADADCEBEAAADBCECCEBDDDCEBE;DDCBABAACECDEDAAAABBADACCCAEAADCAECBBEDEACACD;BCCCEEDBABEDCDBBCEADCBDDECDDDCCBCCBBDEADEDDCB;0;DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED;ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE;DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED;BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC;1;140;120;80;120;100;560;F;E;B;C;4;F;A;C;C;A;B;B;B;A;A;A;A;B;C;B;A;E;A;B;B
210060128854;2023;2;M;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;E;E;B;B;4;B;A;C;D;A;B;B;B;B;A;A;A;A;B;A;A;E;A;A;B
210060986644;2023;2;M;1;2;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;1222;1191;1201;1212;410.3;508.7;504.2;463.2;EAABEACAEECBECBACDBBEBEBDBADECAACBDEDBCDEBABB;CDAAACEBADEEAEBECCDAACCDEEEEBCCDADEEECABAAECA;ABEBACEBADDCDABBECDDDDBEAAACBEEECBAEDAABBDCAA;BAADCEBBEBEACBCADDBADEDCBABCDEBBDDBDEECCBDAEA;1;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;1;140;120;100;120;80;560;E;E;C;B;4;B;A;C;D;A;B;B;A;A;A;A;A;A;C;A;A;D;A;A;A
210059722653;2023;3;F;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;1;2;1;1301902;Itacoatiara;13;AM;1;1;1;1;1223;1194;1203;1213;477.2;575;508.8;388.3;CACCEABDEEAABEEDBBDEBDCCEBBEACDBCEEECCBDCEABC;ABCDCBCACAADACECBDCADAEABEDEBAECEAEADEBCBAEDE;EAACEEADCBEBAADBCCEEEBBBEDEEDDEDBDACBAEBDEBCC;CDDECDDABDEEDDAEBEDBADCCBACBDBDCDACAADECDACDA;1;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;1;120;200;140;120;80;660;B;H;A;A;6;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;A;B;A;A
210060786879;2023;2;M;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;0;1;1;0;;1194;1203;;;483.5;402.5;;;ACCDCBDDBACDBEADCDBBDCCDAACAAACABDACBADBBABDD;CBBDCDABACBEABBCBDACDAEEBADBACDBAECBABDAEBDBC;;0;;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;;1;100;120;100;120;0;440;E;E;F;F;3;B;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;B;A;A;A
210059023862;2023;2;F;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;1;2;1;1301902;Itacoatiara;13;AM;1;1;1;1;1223;1194;1203;1213;592.2;617.2;582.5;575.1;CDDAAEAEEDCBBDDADAEBBBEDBCCCBDADBECBCCADBEEBD;ABBDABDABEAEACECCDBADCEEBCDEBACBCDCEBEDCDAADE;CBEBACAACCBEBAAABCBEACBBACCAEDEDADADBEEADECCB;EADEEDDABDACCCBAEAABDCBDAECCEEAEECDCACCEBDBDC;0;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;1;120;180;180;160;140;780;G;G;D;D;2;D;A;C;C;B;B;B;A;B;A;A;A;B;C;A;B;B;A;D;B
210059681565;2023;3;F;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;E;C;C;B;4;B;A;B;C;B;C;B;A;B;A;A;A;A;B;A;A;C;A;A;B
210059270448;2023;2;F;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;1224;1192;1202;1214;393.9;414.9;370.8;480.7;BDBECDAECAADAEEEDABEBBCEBAADABCCDBCEADDBADEED;BDCAABADCACEAABCDEDCBADCBECEBCAEDDBDCDACBBADC;BECCECCDABCBADBCADDEEEACDDCDEABCDBCADBECABCBA;EAACCDDAADABACCCCBEBABACDBABCDAEABCDEDCBBCDBA;1;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;1;100;80;100;80;40;400;H;E;F;B;5;B;A;D;E;A;B;C;A;B;A;A;A;A;D;A;A;E;A;A;B
210059550127;2023;2;F;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;1;2;1;1301902;Itacoatiara;13;AM;1;1;1;1;1221;1193;1204;1211;511.6;590.5;564.3;675.9;EBEEDCEEBADBBECABBBCCBEEEBCCDBAEBBECDDDDCEBDC;ACEEADAEDBDAADEABCDABCDBABCBDADBCAAAAEDDADACE;AEECACBDDDDDCDAADADBADDBEBAACAEAABBBBEBBACABD;CCBDEEBECAEDBDACBEEEADDDADDDDBCADDBBBCEEEAACC;1;DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED;ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE;DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED;BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC;1;120;120;120;120;120;600;E;E;B;B;5;B;A;B;C;A;A;B;A;A;A;A;A;A;A;A;A;B;A;A;A
210060524347;2023;3;M;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;1223;1194;1203;1213;455.3;337.2;439.3;408.5;CBDCDABEDBCBBDCDBDCCECBEDDBEBDABEDBCCAEDDBEBE;CCCDEBBADBCAEADDAEABEBBDCAEDEDDCABECBAABABDBA;CABDDDAEBDCEACECCBADEDADECECADDAAEEBDAEBDAEBD;CBDAEECDDADCCDDCDDEBEBCDCCEDDDDADEBACABDDDCEA;0;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;1;120;120;120;120;40;520;E;E;B;B;4;B;A;B;C;A;B;B;B;B;A;A;A;A;B;A;B;D;A;A;B
210060965499;2023;3;M;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;1;2;1;1301902;Itacoatiara;13;AM;1;1;1;1;1223;1194;1203;1213;546.3;553.6;544.3;570.5;BBDAEBCCCCDEBEECBDCDEEBEDCBDCBCEDDECDCDDBEBDB;AECCCEDACDBDACEADDBBDAECBDBDBDDDCABDDADCDBADE;DCABEEADEBDEAADAEADEADBAECDCEDCDBDCABEEDCAEDC;ECEDEDBADBEEBCCCEDACCDBBCDEBDEBCDCECDDBCCBCBD;1;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;1;100;120;100;80;20;420;F;F;D;D;5;G;A;C;C;A;C;B;A;B;A;A;A;A;C;A;B;E;A;C;B
